time,seconds_elapsed,z,y,x
1725956239951973600,0.1459736328125,18.20625114440918,-22.012500762939453,-31.387500762939453
1725956239962048300,0.15604833984375,18.618751525878906,-22.03125,-31.593751907348633
1725956239972053200,0.16605322265625,17.662500381469727,-21.65625,-31.51875114440918
1725956239982044000,0.1760439453125,17.4375,-21.58125114440918,-31.781251907348633
1725956239992194600,0.186194580078125,18.28125,-21.84375,-31.856250762939453
1725956240002304800,0.1963046875,18.30000114440918,-21.9375,-31.462501525878906
1725956240012385800,0.2063857421875,17.887500762939453,-21.39375114440918,-31.481250762939453
1725956240022431500,0.216431396484375,18.28125,-21.76875114440918,-31.743751525878906
1725956240032549000,0.226549072265625,17.981250762939453,-21.84375,-31.443750381469727
1725956240042482400,0.236482421875,17.418750762939453,-21.506250381469727,-32.17500305175781
1725956240052487200,0.246487060546875,18.28125,-21.9375,-31.762500762939453
1725956240062476800,0.256476806640625,17.53125,-21.39375114440918,-31.968751907348633
1725956240072468200,0.26646826171875,17.231250762939453,-21.30000114440918,-31.650001525878906
1725956240082461000,0.2764609375,17.868751525878906,-21.76875114440918,-31.818750381469727
1725956240092445200,0.286445068359375,17.4375,-21.48750114440918,-31.875001907348633
1725956240102434600,0.2964345703125,17.4375,-21.67500114440918,-31.89375114440918
1725956240112283400,0.306283447265625,17.64375114440918,-21.76875114440918,-31.818750381469727
1725956240122131500,0.31613134765625,17.587501525878906,-21.46875,-31.293750762939453
1725956240132286200,0.3262861328125,18.262500762939453,-21.67500114440918,-31.912500381469727
1725956240142326500,0.336326416015625,18.693750381469727,-22.3125,-32.00625228881836
1725956240152351000,0.34635107421875,18.618751525878906,-21.9375,-31.387500762939453
1725956240162373000,0.356373046875,18.39375114440918,-21.67500114440918,-31.725000381469727
1725956240172392700,0.366392822265625,18.84375,-22.200000762939453,-31.312501907348633
1725956240182398700,0.376398681640625,18.20625114440918,-22.012500762939453,-31.481250762939453
1725956240192506600,0.386506591796875,18.506250381469727,-21.48750114440918,-31.42500114440918
1725956240202491400,0.396491455078125,17.981250762939453,-22.012500762939453,-31.575000762939453
1725956240212467200,0.40646728515625,18.712501525878906,-22.03125,-31.687501907348633
1725956240222449400,0.416449462890625,18.525001525878906,-22.012500762939453,-31.293750762939453
1725956240232438000,0.42643798828125,18.731250762939453,-22.462501525878906,-31.443750381469727
1725956240242420700,0.436420654296875,18.825000762939453,-21.84375,-31.368751525878906
1725956240252411000,0.446410888671875,19.162500381469727,-21.84375,-31.181251525878906
1725956240262233900,0.45623388671875,19.181251525878906,-21.918750762939453,-30.918750762939453
1725956240272103200,0.466103271484375,19.181251525878906,-21.918750762939453,-30.918750762939453
1725956240282229200,0.476229248046875,18.375,-21.84375,-31.856250762939453
1725956240292281300,0.48628125,18.825000762939453,-21.84375,-31.368751525878906
1725956240302328300,0.496328369140625,18.618751525878906,-21.76875114440918,-31.650001525878906
1725956240312356900,0.50635693359375,18.30000114440918,-22.106250762939453,-31.481250762939453
1725956240322381600,0.516381591796875,18.693750381469727,-21.95625114440918,-31.968751907348633
1725956240332403000,0.52640283203125,18.618751525878906,-22.012500762939453,-31.481250762939453
1725956240342409500,0.536409423828125,18.712501525878906,-21.9375,-31.575000762939453
1725956240352517000,0.54651708984375,18.262500762939453,-21.76875114440918,-32.025001525878906
1725956240362500600,0.55650048828125,19.575000762939453,-22.106250762939453,-31.23750114440918
1725956240372475600,0.5664755859375,18.506250381469727,-21.65625,-31.443750381469727
1725956240382456600,0.57645654296875,18.825000762939453,-21.76875114440918,-31.650001525878906
1725956240392444000,0.58644384765625,19.23750114440918,-21.95625114440918,-31.687501907348633
1725956240402425600,0.596425537109375,18.900001525878906,-22.21875,-32.00625228881836
1725956240412252000,0.606251953125,19.03125,-21.84375,-31.481250762939453
1725956240422113300,0.61611328125,19.012500762939453,-21.86250114440918,-31.762500762939453
1725956240432200000,0.626199951171875,19.368751525878906,-22.125,-31.42500114440918
1725956240442256000,0.636255859375,19.14375114440918,-22.21875,-31.42500114440918
1725956240452305700,0.6463056640625,19.462501525878906,-22.03125,-31.51875114440918
1725956240462338000,0.656338134765625,19.33125114440918,-22.21875,-31.725000381469727
1725956240472366300,0.666366455078125,19.256250381469727,-22.03125,-31.500001907348633
1725956240482390300,0.676390380859375,19.818750381469727,-22.181251525878906,-30.76875114440918
1725956240492399400,0.6863994140625,18.825000762939453,-21.76875114440918,-31.556251525878906
1725956240502407700,0.69640771484375,18.506250381469727,-21.84375,-31.556251525878906
1725956240512528100,0.706528076171875,19.068750381469727,-21.9375,-31.106250762939453
1725956240522498800,0.716498779296875,19.256250381469727,-22.21875,-31.42500114440918
1725956240532475400,0.726475341796875,19.181251525878906,-22.181251525878906,-30.937501907348633
1725956240542457300,0.736457275390625,19.256250381469727,-22.21875,-31.42500114440918
1725956240552400600,0.746400634765625,19.387500762939453,-22.012500762939453,-31.125001907348633
1725956240562219800,0.7562197265625,19.818750381469727,-22.106250762939453,-30.843751907348633
1725956240572087300,0.76608740234375,19.368751525878906,-22.200000762939453,-31.23750114440918
1725956240582190300,0.7761904296875,19.51875114440918,-22.368751525878906,-30.67500114440918
1725956240592248300,0.786248291015625,18.86250114440918,-22.181251525878906,-31.031251907348633
1725956240602299600,0.796299560546875,19.293750762939453,-22.368751525878906,-30.787500381469727
1725956240612344000,0.806343994140625,19.162500381469727,-22.106250762939453,-31.125001907348633
1725956240622370000,0.8163701171875,18.84375,-22.200000762939453,-31.23750114440918
1725956240632391700,0.8263916015625,19.70625114440918,-22.106250762939453,-30.843751907348633
