time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1725956239961688600,0.1556884765625,-0.8825010061264038,-0.08760999888181686,-0.044339001178741455,0.4599440097808838,-0.16057853400707245,-0.11409227550029755,2.171501636505127
1725956239980423400,0.17442333984375,-0.880611002445221,-0.08924400061368942,-0.04619999974966049,0.4630599915981293,-0.1658623367547989,-0.11464270204305649,2.1638426780700684
1725956239999157500,0.193157470703125,-0.8805969953536987,-0.08924700319766998,-0.04619999974966049,0.46308600902557373,-0.1658686101436615,-0.11464310437440872,2.163782835006714
1725956240017892400,0.211892333984375,-0.8805969953536987,-0.08925200253725052,-0.04621100053191185,0.4630829989910126,-0.16589252650737762,-0.11464197933673859,2.1637861728668213
1725956240036626700,0.230626708984375,-0.88059401512146,-0.08925600349903107,-0.04621899873018265,0.4630880057811737,-0.16591130197048187,-0.11464063078165054,2.163774251937866
1725956240055361300,0.249361328125,-0.8805969953536987,-0.08925499767065048,-0.046229999512434006,0.4630810022354126,-0.165928915143013,-0.11462976783514023,2.1637890338897705
1725956240074095900,0.268095947265625,-0.880545973777771,-0.08925200253725052,-0.046241000294685364,0.46317601203918457,-0.1659577190876007,-0.11459618806838989,2.163572311401367
1725956240092830200,0.286830322265625,-0.8805199861526489,-0.08923500031232834,-0.046254001557826996,0.4632279872894287,-0.16597101092338562,-0.11454442888498306,2.163459539413452
1725956240111564800,0.305564697265625,-0.8805029988288879,-0.08921299874782562,-0.046261999756097794,0.46326300501823425,-0.16596834361553192,-0.11449164897203445,2.1633851528167725
1725956240130299100,0.324299072265625,-0.8804979920387268,-0.08918900042772293,-0.046264998614788055,0.46327799558639526,-0.1659523844718933,-0.11444401741027832,2.1633596420288086
1725956240149033700,0.34303369140625,-0.8805000185966492,-0.08915700018405914,-0.04627799987792969,0.46327900886535645,-0.16594454646110535,-0.11437542736530304,2.1633658409118652
1725956240167768300,0.361768310546875,-0.8805320262908936,-0.08911000192165375,-0.04630199819803238,0.46322301030158997,-0.1659342497587204,-0.11428070813417435,2.1635024547576904
1725956240186502700,0.380502685546875,-0.8805649876594543,-0.08905699849128723,-0.04632199928164482,0.46316900849342346,-0.16591142117977142,-0.11417904496192932,2.163639545440674
1725956240205237200,0.3992373046875,-0.8805950284004211,-0.08901800215244293,-0.046337999403476715,0.46311700344085693,-0.1658952832221985,-0.1141052395105362,2.163766860961914
1725956240223971800,0.417971923828125,-0.8806220293045044,-0.08899500221014023,-0.04635800048708916,0.46306899189949036,-0.16590239107608795,-0.11405513435602188,2.16388201713562
1725956240242706200,0.4367060546875,-0.8806440234184265,-0.08899100124835968,-0.04638399928808212,0.4630250036716461,-0.16593898832798004,-0.1140318512916565,2.163980484008789
1725956240261440800,0.455440673828125,-0.8806620240211487,-0.0890050008893013,-0.04641899839043617,0.46298399567604065,-0.16600936651229858,-0.1140311136841774,2.1640658378601074
1725956240280175000,0.474175048828125,-0.8806790113449097,-0.08903499692678452,-0.04646499827504158,0.4629420042037964,-0.1661147177219391,-0.11404837667942047,2.164149522781372
1725956240298909700,0.49290966796875,-0.8806939721107483,-0.08907800167798996,-0.04651999846100807,0.46289899945259094,-0.1662484109401703,-0.11408007144927979,2.164228916168213
1725956240317644300,0.511644287109375,-0.8807010054588318,-0.08910100162029266,-0.04655199870467186,0.4628770053386688,-0.16632461547851562,-0.11409435421228409,2.1642682552337646
1725956240336378600,0.530378662109375,-0.880702018737793,-0.08910100162029266,-0.04655199870467186,0.46287599205970764,-0.16632454097270966,-0.11409463733434677,2.164271831512451
1725956240355113000,0.549113037109375,-0.880711019039154,-0.08910699933767319,-0.046581998467445374,0.4628539979457855,-0.16638073325157166,-0.1140810027718544,2.1643166542053223
1725956240373847600,0.56784765625,-0.8807290196418762,-0.08911299705505371,-0.0466499999165535,0.46281200647354126,-0.16650184988975525,-0.11403543502092361,2.164405345916748
1725956240392582100,0.58658203125,-0.8807460069656372,-0.08912300318479538,-0.04672599956393242,0.4627699851989746,-0.16664104163646698,-0.11398937553167343,2.164491653442383
1725956240411316700,0.605316650390625,-0.8807629942893982,-0.08912800252437592,-0.04679900035262108,0.46272900700569153,-0.16677016019821167,-0.1139371320605278,2.1645772457122803
1725956240430051000,0.624051025390625,-0.8807719945907593,-0.08912300318479538,-0.04682999849319458,0.4627079963684082,-0.1668175756931305,-0.1139030009508133,2.1646218299865723
1725956240448785700,0.64278564453125,-0.8807920217514038,-0.08911299705505371,-0.04687599837779999,0.4626680016517639,-0.1668844372034073,-0.11384978145360947,2.164713144302368
1725956240467520300,0.661520263671875,-0.8808119893074036,-0.08910699933767319,-0.046911001205444336,0.46262699365615845,-0.16693545877933502,-0.11381399631500244,2.164804220199585
1725956240486254600,0.680254638671875,-0.8808299899101257,-0.0891140028834343,-0.04695399850606918,0.46258801221847534,-0.16701363027095795,-0.113793283700943,2.164888620376587
1725956240504989200,0.6989892578125,-0.8808450102806091,-0.08913400024175644,-0.04701000079512596,0.46254900097846985,-0.16712737083435059,-0.11378297954797745,2.1649656295776367
1725956240523723500,0.7177236328125,-0.8808580040931702,-0.08915399760007858,-0.04707799851894379,0.4625129997730255,-0.16726279258728027,-0.11376085877418518,2.1650357246398926
1725956240542458000,0.7364580078125,-0.8808640241622925,-0.08916600048542023,-0.04711100086569786,0.4624960124492645,-0.1673308163881302,-0.11375410854816437,2.1650681495666504
1725956240561192700,0.755192626953125,-0.88086998462677,-0.08918000012636185,-0.04713999852538109,0.46247801184654236,-0.1673934906721115,-0.11375472694635391,2.1651015281677246
