time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1725956242144000000,2.338,45,1.5,1.1476551294326782,13.680000305175781,0,0,166.70001220703125,110.3829092,-7.7651367
1725956245076000000,5.27,0,1.5,1.1476551294326782,13.680000305175781,0,0,166.70001220703125,110.3829092,-7.7651367
1725956251843655700,12.03765576171875,0,1.5,1.1476551294326782,23.165000915527344,0.049597207456827164,0,166.70001220703125,110.3829099,-7.7651336
1725956252312497400,12.506497314453124,45,0.4998578131198883,1.1476551294326782,23.155000686645508,1.9877599477767944,87.39189147949219,166.70001220703125,110.3829145,-7.7651333
1725956252751589000,12.945589111328125,45,0.4998578131198883,1.1476551294326782,23.214000701904297,1.9892797470092773,88.89665985107422,166.70001220703125,110.3829182,-7.7651331
1725956252757424400,12.95142431640625,45,0.4998578131198883,1.0489861965179443,23.243999481201172,1.9892467260360718,89.09295654296875,166.70001220703125,110.3829163,-7.7651332
1725956253265958400,13.45995849609375,45,0.2738598585128784,1.0489861965179443,23.420000076293945,1.7310048341751099,76.77465057373047,166.70001220703125,110.3829227,-7.7651334
1725956253763028200,13.9570283203125,45,0.3087834417819977,1.0489861965179443,23.601999282836914,1.7262341976165771,79.9922103881836,166.70001220703125,110.3829261,-7.7651323
1725956254408839700,14.602839599609375,45,0.2876416742801666,1.0489861965179443,23.91200065612793,1.567240595817566,85.89215850830078,166.70001220703125,110.3829307,-7.7651315
1725956255149293300,15.343293212890625,45,0.345089316368103,1.0489861965179443,24.249000549316406,1.5762536525726318,75.15302276611328,166.70001220703125,110.3829352,-7.7651314
1725956255230399000,15.42439892578125,45,0.3106285333633423,1.013150691986084,24.486000061035156,1.4148144721984863,74.80726623535156,166.70001220703125,110.3829313,-7.765132
1725956256085812500,16.2798125,45,0.3409527540206909,1.013150691986084,24.761999130249023,1.379479169845581,78.65507507324219,166.70001220703125,110.382937,-7.7651301
1725956257148915000,17.3429150390625,45,0.3570793569087982,1.013150691986084,25.229999542236328,1.2540134191513062,77.33606719970703,166.70001220703125,110.3829439,-7.7651287
